"county","state","party","procent_wykształcenie_wyższe","liczba_gł_republikanie","liczba_gł_demokraci"
Greene,Mississippi,Democrat,"0 - 10 %",282334,183010
Heard,Georgia,Republican,"0 - 10 %",282334,183010
Magoffin,Kentucky,Democrat,"0 - 10 %",282334,183010
Suwannee,Florida,Republican,"0 - 10 %",282334,183010
Newton,Indiana,Republican,"0 - 10 %",282334,183010
Jones,Texas,Republican,"0 - 10 %",282334,183010
Winkler,Texas,Republican,"0 - 10 %",282334,183010
Holmes,Ohio,Democrat,"0 - 10 %",282334,183010
Hamilton,Florida,Republican,"0 - 10 %",282334,183010
Madison,Missouri,Democrat,"0 - 10 %",282334,183010
Chattooga,Georgia,Democrat,"0 - 10 %",282334,183010
Magoffin,Kentucky,Republican,"0 - 10 %",282334,183010
Forest,Pennsylvania,Democrat,"0 - 10 %",282334,183010
Charlton,Georgia,Democrat,"0 - 10 %",282334,183010
Butler,Kentucky,Republican,"0 - 10 %",282334,183010
Webster,Kentucky,Republican,"0 - 10 %",282334,183010
Avoyelles,Louisiana,Democrat,"0 - 10 %",282334,183010
Zavala,Texas,Democrat,"0 - 10 %",282334,183010
Montmorency,Michigan,Democrat,"0 - 10 %",282334,183010
Issaquena,Mississippi,Democrat,"0 - 10 %",282334,183010
Boone,West Virginia,Democrat,"0 - 10 %",282334,183010
Suwannee,Florida,Democrat,"0 - 10 %",282334,183010
Lawrence,Illinois,Democrat,"0 - 10 %",282334,183010
Trinity,Texas,Republican,"0 - 10 %",282334,183010
Buffalo,South Dakota,Republican,"0 - 10 %",282334,183010
Boone,West Virginia,Republican,"0 - 10 %",282334,183010
Zavala,Texas,Republican,"0 - 10 %",282334,183010
Lake,Michigan,Democrat,"0 - 10 %",282334,183010
Reynolds,Missouri,Republican,"0 - 10 %",282334,183010
Harrison,Ohio,Democrat,"0 - 10 %",282334,183010
Greene,Mississippi,Republican,"0 - 10 %",282334,183010
Greensville,Virginia,Democrat,"0 - 10 %",282334,183010
Jefferson,Georgia,Republican,"0 - 10 %",282334,183010
Oregon,Missouri,Democrat,"0 - 10 %",282334,183010
Wyoming,West Virginia,Republican,"0 - 10 %",282334,183010
Avoyelles,Louisiana,Republican,"0 - 10 %",282334,183010
Clay,Arkansas,Democrat,"0 - 10 %",282334,183010
Dimmit,Texas,Republican,"0 - 10 %",282334,183010
West Carroll,Louisiana,Republican,"0 - 10 %",282334,183010
Turner,Georgia,Republican,"0 - 10 %",282334,183010
Logan,West Virginia,Democrat,"0 - 10 %",282334,183010
Houston,Tennessee,Republican,"0 - 10 %",282334,183010
Calhoun,Mississippi,Democrat,"0 - 10 %",282334,183010
Bledsoe,Tennessee,Democrat,"0 - 10 %",282334,183010
Caswell,North Carolina,Democrat,"0 - 10 %",282334,183010
Breathitt,Kentucky,Republican,"0 - 10 %",282334,183010
Jennings,Indiana,Democrat,"0 - 10 %",282334,183010
Willacy,Texas,Republican,"0 - 10 %",282334,183010
Glascock,Georgia,Democrat,"0 - 10 %",282334,183010
Jeff Davis,Georgia,Republican,"0 - 10 %",282334,183010
Hancock,Georgia,Republican,"0 - 10 %",282334,183010
Houston,Tennessee,Democrat,"0 - 10 %",282334,183010
Brantley,Georgia,Republican,"0 - 10 %",282334,183010
Lamar,Alabama,Democrat,"0 - 10 %",282334,183010
Bee,Texas,Democrat,"0 - 10 %",282334,183010
Jackson,Arkansas,Republican,"0 - 10 %",282334,183010
Schuyler,Missouri,Democrat,"0 - 10 %",282334,183010
Lake,Michigan,Republican,"0 - 10 %",282334,183010
Bee,Texas,Republican,"0 - 10 %",282334,183010
Duval,Texas,Republican,"0 - 10 %",282334,183010
Butler,Kentucky,Democrat,"0 - 10 %",282334,183010
Jackson,Kentucky,Democrat,"0 - 10 %",282334,183010
Loving,Texas,Democrat,"0 - 10 %",282334,183010
Hardy,West Virginia,Republican,"0 - 10 %",282334,183010
Issaquena,Mississippi,Republican,"0 - 10 %",282334,183010
Quitman,Georgia,Republican,"0 - 10 %",282334,183010
Madison,Florida,Republican,"0 - 10 %",282334,183010
Zapata,Texas,Democrat,"0 - 10 %",282334,183010
Terrell,Georgia,Democrat,"0 - 10 %",282334,183010
Switzerland,Indiana,Republican,"0 - 10 %",282334,183010
Leslie,Kentucky,Republican,"0 - 10 %",282334,183010
Carroll,Kentucky,Republican,"0 - 10 %",282334,183010
Gallatin,Kentucky,Republican,"0 - 10 %",282334,183010
Willacy,Texas,Democrat,"0 - 10 %",282334,183010
Campbell,Tennessee,Republican,"0 - 10 %",282334,183010
Mississippi,Missouri,Democrat,"0 - 10 %",282334,183010
Mitchell,Texas,Democrat,"0 - 10 %",282334,183010
Marion,Alabama,Republican,"0 - 10 %",282334,183010
Breckinridge,Kentucky,Democrat,"0 - 10 %",282334,183010
La Salle,Texas,Republican,"0 - 10 %",282334,183010
Assumption,Louisiana,Republican,"0 - 10 %",282334,183010
Tallahatchie,Mississippi,Republican,"0 - 10 %",282334,183010
Forest,Pennsylvania,Republican,"0 - 10 %",282334,183010
Calhoun,Florida,Democrat,"0 - 10 %",282334,183010
DeKalb,Missouri,Republican,"0 - 10 %",282334,183010
Wilkinson,Georgia,Democrat,"0 - 10 %",282334,183010
Gallatin,Kentucky,Democrat,"0 - 10 %",282334,183010
Atkinson,Georgia,Republican,"0 - 10 %",282334,183010
Wyoming,West Virginia,Democrat,"0 - 10 %",282334,183010
Fayette,Indiana,Democrat,"0 - 10 %",282334,183010
Owyhee,Idaho,Republican,"0 - 10 %",282334,183010
Wilcox,Georgia,Republican,"0 - 10 %",282334,183010
Perry,Mississippi,Democrat,"0 - 10 %",282334,183010
Duval,Texas,Democrat,"0 - 10 %",282334,183010
Caswell,North Carolina,Republican,"0 - 10 %",282334,183010
Charlton,Georgia,Republican,"0 - 10 %",282334,183010
Calhoun,Mississippi,Republican,"0 - 10 %",282334,183010
Bent,Colorado,Democrat,"0 - 10 %",282334,183010
Poinsett,Arkansas,Republican,"0 - 10 %",282334,183010
Scott,Mississippi,Republican,"0 - 10 %",282334,183010
Mora,New Mexico,Democrat,"0 - 10 %",282334,183010
Yell,Arkansas,Republican,"0 - 10 %",282334,183010
Terrell,Georgia,Republican,"0 - 10 %",282334,183010
Jeff Davis,Georgia,Democrat,"0 - 10 %",282334,183010
Noble,Ohio,Republican,"0 - 10 %",282334,183010
Poinsett,Arkansas,Democrat,"0 - 10 %",282334,183010
Yell,Arkansas,Democrat,"0 - 10 %",282334,183010
Zapata,Texas,Republican,"0 - 10 %",282334,183010
Marlboro,South Carolina,Democrat,"0 - 10 %",282334,183010
Atkinson,Georgia,Democrat,"0 - 10 %",282334,183010
Hart,Kentucky,Democrat,"0 - 10 %",282334,183010
McCreary,Kentucky,Republican,"0 - 10 %",282334,183010
Liberty,Texas,Democrat,"0 - 10 %",282334,183010
Benton,Mississippi,Republican,"0 - 10 %",282334,183010
Minidoka,Idaho,Democrat,"0 - 10 %",282334,183010
Clay,West Virginia,Republican,"0 - 10 %",282334,183010
Morrow,Oregon,Democrat,"0 - 10 %",282334,183010
Murray,Georgia,Republican,"0 - 10 %",282334,183010
Mitchell,Georgia,Republican,"0 - 10 %",282334,183010
Mitchell,Texas,Republican,"0 - 10 %",282334,183010
Caldwell,Louisiana,Democrat,"0 - 10 %",282334,183010
Jackson,Tennessee,Democrat,"0 - 10 %",282334,183010
Macon,Tennessee,Republican,"0 - 10 %",282334,183010
Worth,Georgia,Democrat,"0 - 10 %",282334,183010
McDowell,West Virginia,Republican,"0 - 10 %",282334,183010
Mora,New Mexico,Republican,"0 - 10 %",282334,183010
Bradford,Florida,Republican,"0 - 10 %",282334,183010
Hardeman,Tennessee,Democrat,"0 - 10 %",282334,183010
Buffalo,South Dakota,Democrat,"0 - 10 %",282334,183010
Newton,Indiana,Democrat,"0 - 10 %",282334,183010
Logan,West Virginia,Republican,"0 - 10 %",282334,183010
Morgan,Tennessee,Republican,"0 - 10 %",282334,183010
Echols,Georgia,Democrat,"0 - 10 %",282334,183010
Hancock,Georgia,Democrat,"0 - 10 %",282334,183010
Grayson,Kentucky,Democrat,"0 - 10 %",282334,183010
Butts,Georgia,Democrat,"0 - 10 %",282334,183010
Schuyler,Missouri,Republican,"0 - 10 %",282334,183010
Dixie,Florida,Republican,"0 - 10 %",282334,183010
Chattooga,Georgia,Republican,"0 - 10 %",282334,183010
Ohio,Kentucky,Democrat,"0 - 10 %",282334,183010
Frio,Texas,Republican,"0 - 10 %",282334,183010
Morgan,Tennessee,Democrat,"0 - 10 %",282334,183010
Martin,Kentucky,Republican,"0 - 10 %",282334,183010
Dillon,South Carolina,Republican,"0 - 10 %",282334,183010
Switzerland,Indiana,Democrat,"0 - 10 %",282334,183010
Ohio,Kentucky,Republican,"0 - 10 %",282334,183010
Garza,Texas,Democrat,"0 - 10 %",282334,183010
Coosa,Alabama,Democrat,"0 - 10 %",282334,183010
Prairie,Arkansas,Democrat,"0 - 10 %",282334,183010
Lake,Tennessee,Republican,"0 - 10 %",282334,183010
Taliaferro,Georgia,Democrat,"0 - 10 %",282334,183010
Ben Hill,Georgia,Republican,"0 - 10 %",282334,183010
West Carroll,Louisiana,Democrat,"0 - 10 %",282334,183010
Perry,Mississippi,Republican,"0 - 10 %",282334,183010
Hardeman,Tennessee,Republican,"0 - 10 %",282334,183010
Washington,Alabama,Republican,"0 - 10 %",282334,183010
Dillon,South Carolina,Democrat,"0 - 10 %",282334,183010
Mississippi,Missouri,Republican,"0 - 10 %",282334,183010
Holmes,Ohio,Republican,"0 - 10 %",282334,183010
Wayne,Tennessee,Republican,"0 - 10 %",282334,183010
East Carroll,Louisiana,Democrat,"0 - 10 %",282334,183010
Lee,Arkansas,Republican,"0 - 10 %",282334,183010
Harrison,Ohio,Republican,"0 - 10 %",282334,183010
Webster,West Virginia,Democrat,"0 - 10 %",282334,183010
Vinton,Ohio,Republican,"0 - 10 %",282334,183010
Webster,West Virginia,Republican,"0 - 10 %",282334,183010
Buchanan,Virginia,Republican,"0 - 10 %",282334,183010
Hampshire,West Virginia,Democrat,"0 - 10 %",282334,183010
Clay,Arkansas,Republican,"0 - 10 %",282334,183010
Union,Tennessee,Republican,"0 - 10 %",282334,183010
Elliott,Kentucky,Republican,"0 - 10 %",282334,183010
Blackford,Indiana,Republican,"0 - 10 %",282334,183010
Dimmit,Texas,Democrat,"0 - 10 %",282334,183010
Johnson,Tennessee,Republican,"0 - 10 %",282334,183010
Hancock,Tennessee,Republican,"0 - 10 %",282334,183010
Coosa,Alabama,Republican,"0 - 10 %",282334,183010
Washington,Missouri,Republican,"0 - 10 %",282334,183010
Washington,Alabama,Democrat,"0 - 10 %",282334,183010
Clay,Georgia,Republican,"0 - 10 %",282334,183010
Trinity,Texas,Democrat,"0 - 10 %",282334,183010
Lincoln,Arkansas,Democrat,"0 - 10 %",282334,183010
Oregon,Missouri,Republican,"0 - 10 %",282334,183010
Tallahatchie,Mississippi,Democrat,"0 - 10 %",282334,183010
Mitchell,Georgia,Democrat,"0 - 10 %",282334,183010
Lee,Kentucky,Republican,"0 - 10 %",282334,183010
Tyrrell,North Carolina,Democrat,"0 - 10 %",282334,183010
Dixie,Florida,Democrat,"0 - 10 %",282334,183010
Tyler,West Virginia,Republican,"0 - 10 %",282334,183010
Covington,Virginia,Democrat,"0 - 10 %",282334,183010
Johnson,Tennessee,Democrat,"0 - 10 %",282334,183010
Newton,Texas,Democrat,"0 - 10 %",282334,183010
Calhoun,Florida,Republican,"0 - 10 %",282334,183010
Cleburne,Alabama,Republican,"0 - 10 %",282334,183010
Starr,Texas,Democrat,"0 - 10 %",282334,183010
Warren,Georgia,Republican,"0 - 10 %",282334,183010
Clay,Kentucky,Republican,"0 - 10 %",282334,183010
Carroll,Kentucky,Democrat,"0 - 10 %",282334,183010
Winkler,Texas,Democrat,"0 - 10 %",282334,183010
Clinton,Kentucky,Republican,"0 - 10 %",282334,183010
Martin,Kentucky,Democrat,"0 - 10 %",282334,183010
Wheeler,Georgia,Republican,"0 - 10 %",282334,183010
Jefferson,Georgia,Democrat,"0 - 10 %",282334,183010
Reynolds,Missouri,Democrat,"0 - 10 %",282334,183010
East Carroll,Louisiana,Republican,"0 - 10 %",282334,183010
Buchanan,Virginia,Democrat,"0 - 10 %",282334,183010
Owyhee,Idaho,Democrat,"0 - 10 %",282334,183010
Marlboro,South Carolina,Republican,"0 - 10 %",282334,183010
Starr,Texas,Republican,"0 - 10 %",282334,183010
Hendry,Florida,Republican,"0 - 10 %",282334,183010
McDowell,West Virginia,Democrat,"0 - 10 %",282334,183010
Tyrrell,North Carolina,Republican,"0 - 10 %",282334,183010
Greensville,Virginia,Republican,"0 - 10 %",282334,183010
Ben Hill,Georgia,Democrat,"0 - 10 %",282334,183010
Newton,Texas,Republican,"0 - 10 %",282334,183010
Covington,Virginia,Republican,"0 - 10 %",282334,183010
Pulaski,Georgia,Republican,"0 - 10 %",282334,183010
Conecuh,Alabama,Republican,"0 - 10 %",282334,183010
Tyler,West Virginia,Democrat,"0 - 10 %",282334,183010
Wheeler,Georgia,Democrat,"0 - 10 %",282334,183010
Hancock,Tennessee,Democrat,"0 - 10 %",282334,183010
La Paz,Arizona,Democrat,"0 - 10 %",282334,183010
Scott,Mississippi,Democrat,"0 - 10 %",282334,183010
Jones,Texas,Democrat,"0 - 10 %",282334,183010
Breathitt,Kentucky,Democrat,"0 - 10 %",282334,183010
Lake,Tennessee,Democrat,"0 - 10 %",282334,183010
Frio,Texas,Democrat,"0 - 10 %",282334,183010
Meigs,Tennessee,Democrat,"0 - 10 %",282334,183010
Jackson,Tennessee,Republican,"0 - 10 %",282334,183010
Edmonson,Kentucky,Republican,"0 - 10 %",282334,183010
Hart,Kentucky,Republican,"0 - 10 %",282334,183010
Burke,Georgia,Democrat,"0 - 10 %",282334,183010
Pulaski,Georgia,Democrat,"0 - 10 %",282334,183010
Elliott,Kentucky,Democrat,"0 - 10 %",282334,183010
Hardee,Florida,Democrat,"0 - 10 %",282334,183010
Hendry,Florida,Democrat,"0 - 10 %",282334,183010
Sevier,Arkansas,Republican,"0 - 10 %",282334,183010
Campbell,Tennessee,Democrat,"0 - 10 %",282334,183010
Todd,Kentucky,Democrat,"0 - 10 %",282334,183010
Macon,Tennessee,Democrat,"0 - 10 %",282334,183010
Meriwether,Georgia,Republican,"0 - 10 %",282334,183010
Estill,Kentucky,Republican,"0 - 10 %",282334,183010
Lee,Arkansas,Democrat,"0 - 10 %",282334,183010
Calhoun,Arkansas,Democrat,"0 - 10 %",282334,183010
Clay,Alabama,Democrat,"0 - 10 %",282334,183010
Dawson,Texas,Republican,"0 - 10 %",282334,183010
Northampton,North Carolina,Republican,"0 - 10 %",282334,183010
Benton,Mississippi,Democrat,"0 - 10 %",282334,183010
Union,Tennessee,Democrat,"0 - 10 %",282334,183010
Meriwether,Georgia,Democrat,"0 - 10 %",282334,183010
Cleburne,Alabama,Democrat,"0 - 10 %",282334,183010
Liberty,Texas,Republican,"0 - 10 %",282334,183010
Wayne,Kentucky,Democrat,"0 - 10 %",282334,183010
Hamilton,Florida,Democrat,"0 - 10 %",282334,183010
Alexander,Illinois,Republican,"0 - 10 %",282334,183010
La Salle,Texas,Democrat,"0 - 10 %",282334,183010
Jennings,Indiana,Republican,"0 - 10 %",282334,183010
Madison,Florida,Democrat,"0 - 10 %",282334,183010
Lee,Kentucky,Democrat,"0 - 10 %",282334,183010
Caldwell,Louisiana,Republican,"0 - 10 %",282334,183010
Jackson,Arkansas,Democrat,"0 - 10 %",282334,183010
Noble,Ohio,Democrat,"0 - 10 %",282334,183010
Vinton,Ohio,Democrat,"0 - 10 %",282334,183010
Clinton,Kentucky,Democrat,"0 - 10 %",282334,183010
Montmorency,Michigan,Republican,"0 - 10 %",282334,183010
Marion,Alabama,Democrat,"0 - 10 %",282334,183010
Lee,South Carolina,Democrat,"0 - 10 %",282334,183010
Lawrence,Illinois,Republican,"0 - 10 %",282334,183010
Lincoln,Kentucky,Democrat,"0 - 10 %",282334,183010
Hampshire,West Virginia,Republican,"0 - 10 %",282334,183010
Harrison,Missouri,Republican,"0 - 10 %",282334,183010
Grayson,Kentucky,Republican,"0 - 10 %",282334,183010
McCreary,Kentucky,Democrat,"0 - 10 %",282334,183010
Calhoun,Arkansas,Republican,"0 - 10 %",282334,183010
Cocke,Tennessee,Republican,"0 - 10 %",282334,183010
Todd,Kentucky,Republican,"0 - 10 %",282334,183010
Estill,Kentucky,Democrat,"0 - 10 %",282334,183010
Hardy,West Virginia,Democrat,"0 - 10 %",282334,183010
Breckinridge,Kentucky,Republican,"0 - 10 %",282334,183010
Hardee,Florida,Republican,"0 - 10 %",282334,183010
Lincoln,Kentucky,Republican,"0 - 10 %",282334,183010
Assumption,Louisiana,Democrat,"0 - 10 %",282334,183010
Bradford,Florida,Democrat,"0 - 10 %",282334,183010
Leslie,Kentucky,Democrat,"0 - 10 %",282334,183010
Murray,Georgia,Democrat,"0 - 10 %",282334,183010
Edmonson,Kentucky,Democrat,"0 - 10 %",282334,183010
Fayette,Indiana,Republican,"0 - 10 %",282334,183010
Clay,West Virginia,Democrat,"0 - 10 %",282334,183010
DeKalb,Missouri,Democrat,"0 - 10 %",282334,183010
Loving,Texas,Republican,"0 - 10 %",282334,183010
Wayne,Tennessee,Democrat,"0 - 10 %",282334,183010
Casey,Kentucky,Republican,"0 - 10 %",282334,183010
Webster,Kentucky,Democrat,"0 - 10 %",282334,183010
Lincoln,Arkansas,Republican,"0 - 10 %",282334,183010
Washington,Missouri,Democrat,"0 - 10 %",282334,183010
Harrison,Missouri,Democrat,"0 - 10 %",282334,183010
Lincoln,West Virginia,Democrat,"0 - 10 %",282334,183010
Dawson,Texas,Democrat,"0 - 10 %",282334,183010
Clay,Georgia,Democrat,"0 - 10 %",282334,183010
Turner,Georgia,Democrat,"0 - 10 %",282334,183010
McMullen,Texas,Republican,"0 - 10 %",282334,183010
Cocke,Tennessee,Democrat,"0 - 10 %",282334,183010
Sevier,Arkansas,Democrat,"0 - 10 %",282334,183010
Northampton,North Carolina,Democrat,"0 - 10 %",282334,183010
Burke,Georgia,Republican,"0 - 10 %",282334,183010
Warren,Georgia,Democrat,"0 - 10 %",282334,183010
Wilcox,Georgia,Democrat,"0 - 10 %",282334,183010
Butts,Georgia,Republican,"0 - 10 %",282334,183010
Emanuel,Georgia,Republican,"10 - 15 %",2841964,1491324
Washington,Louisiana,Republican,"10 - 15 %",2841964,1491324
Jim Hogg,Texas,Democrat,"10 - 15 %",2841964,1491324
Greer,Oklahoma,Democrat,"10 - 15 %",2841964,1491324
De Witt,Texas,Democrat,"10 - 15 %",2841964,1491324
Wahkiakum,Washington,Republican,"10 - 15 %",2841964,1491324
Refugio,Texas,Democrat,"10 - 15 %",2841964,1491324
Wetzel,West Virginia,Democrat,"10 - 15 %",2841964,1491324
Bleckley,Georgia,Republican,"10 - 15 %",2841964,1491324
Fleming,Kentucky,Republican,"10 - 15 %",2841964,1491324
Bedford,Tennessee,Republican,"10 - 15 %",2841964,1491324
Orange,Texas,Democrat,"10 - 15 %",2841964,1491324
Starke,Indiana,Democrat,"10 - 15 %",2841964,1491324
Muhlenberg,Kentucky,Democrat,"10 - 15 %",2841964,1491324
Calhoun,West Virginia,Democrat,"10 - 15 %",2841964,1491324
Ionia,Michigan,Democrat,"10 - 15 %",2841964,1491324
Acadia,Louisiana,Republican,"10 - 15 %",2841964,1491324
Haywood,Tennessee,Democrat,"10 - 15 %",2841964,1491324
Caddo,Oklahoma,Republican,"10 - 15 %",2841964,1491324
Crawford,Iowa,Republican,"10 - 15 %",2841964,1491324
Scott,Illinois,Democrat,"10 - 15 %",2841964,1491324
Miller,Arkansas,Republican,"10 - 15 %",2841964,1491324
Choctaw,Mississippi,Democrat,"10 - 15 %",2841964,1491324
Mason,West Virginia,Republican,"10 - 15 %",2841964,1491324
Gooding,Idaho,Democrat,"10 - 15 %",2841964,1491324
Glenn,California,Republican,"10 - 15 %",2841964,1491324
Jackson,Louisiana,Republican,"10 - 15 %",2841964,1491324
Perry,Ohio,Republican,"10 - 15 %",2841964,1491324
Marion,Mississippi,Democrat,"10 - 15 %",2841964,1491324
Richmond,Virginia,Republican,"10 - 15 %",2841964,1491324
Kings,California,Democrat,"10 - 15 %",2841964,1491324
Cleveland,Arkansas,Democrat,"10 - 15 %",2841964,1491324
Cumberland,Kentucky,Republican,"10 - 15 %",2841964,1491324
Hudspeth,Texas,Democrat,"10 - 15 %",2841964,1491324
Concordia,Louisiana,Democrat,"10 - 15 %",2841964,1491324
Petersburg,Virginia,Republican,"10 - 15 %",2841964,1491324
Union,South Carolina,Republican,"10 - 15 %",2841964,1491324
New Madrid,Missouri,Republican,"10 - 15 %",2841964,1491324
Newaygo,Michigan,Republican,"10 - 15 %",2841964,1491324
Cleveland,Arkansas,Republican,"10 - 15 %",2841964,1491324
Westmoreland,Virginia,Republican,"10 - 15 %",2841964,1491324
Jackson,Louisiana,Democrat,"10 - 15 %",2841964,1491324
Highland,Ohio,Democrat,"10 - 15 %",2841964,1491324
Green,Kentucky,Republican,"10 - 15 %",2841964,1491324
Catahoula,Louisiana,Democrat,"10 - 15 %",2841964,1491324
Duplin,North Carolina,Republican,"10 - 15 %",2841964,1491324
Clay,Illinois,Republican,"10 - 15 %",2841964,1491324
Cedar,Missouri,Republican,"10 - 15 %",2841964,1491324
Colusa,California,Republican,"10 - 15 %",2841964,1491324
Goliad,Texas,Republican,"10 - 15 %",2841964,1491324
Guernsey,Ohio,Democrat,"10 - 15 %",2841964,1491324
Abbeville,South Carolina,Democrat,"10 - 15 %",2841964,1491324
Highland,Ohio,Republican,"10 - 15 %",2841964,1491324
Rusk,Texas,Democrat,"10 - 15 %",2841964,1491324
Craig,Oklahoma,Republican,"10 - 15 %",2841964,1491324
Franklin,Georgia,Republican,"10 - 15 %",2841964,1491324
Howard,Texas,Democrat,"10 - 15 %",2841964,1491324
Oneida,Idaho,Democrat,"10 - 15 %",2841964,1491324
Greer,Oklahoma,Republican,"10 - 15 %",2841964,1491324
St. Francois,Missouri,Republican,"10 - 15 %",2841964,1491324
Henderson,Texas,Democrat,"10 - 15 %",2841964,1491324
Crockett,Texas,Republican,"10 - 15 %",2841964,1491324
San Jacinto,Texas,Republican,"10 - 15 %",2841964,1491324
Mohave,Arizona,Republican,"10 - 15 %",2841964,1491324
McLean,Kentucky,Democrat,"10 - 15 %",2841964,1491324
Branch,Michigan,Republican,"10 - 15 %",2841964,1491324
Amite,Mississippi,Republican,"10 - 15 %",2841964,1491324
McKinley,New Mexico,Democrat,"10 - 15 %",2841964,1491324
Kit Carson,Colorado,Democrat,"10 - 15 %",2841964,1491324
Torrance,New Mexico,Democrat,"10 - 15 %",2841964,1491324
Lee,Virginia,Democrat,"10 - 15 %",2841964,1491324
Fulton,Arkansas,Republican,"10 - 15 %",2841964,1491324
Lanier,Georgia,Democrat,"10 - 15 %",2841964,1491324
Moore,Tennessee,Republican,"10 - 15 %",2841964,1491324
Obion,Tennessee,Republican,"10 - 15 %",2841964,1491324
Laurel,Kentucky,Democrat,"10 - 15 %",2841964,1491324
Panola,Mississippi,Democrat,"10 - 15 %",2841964,1491324
Gratiot,Michigan,Democrat,"10 - 15 %",2841964,1491324
Dallas,Missouri,Democrat,"10 - 15 %",2841964,1491324
Baker,Georgia,Republican,"10 - 15 %",2841964,1491324
Cumberland,Illinois,Republican,"10 - 15 %",2841964,1491324
Tulare,California,Democrat,"10 - 15 %",2841964,1491324
East Feliciana,Louisiana,Democrat,"10 - 15 %",2841964,1491324
Clare,Michigan,Democrat,"10 - 15 %",2841964,1491324
Luce,Michigan,Republican,"10 - 15 %",2841964,1491324
Wyoming,New York,Democrat,"10 - 15 %",2841964,1491324
Gladwin,Michigan,Democrat,"10 - 15 %",2841964,1491324
Latimer,Oklahoma,Democrat,"10 - 15 %",2841964,1491324
Marion,Kentucky,Democrat,"10 - 15 %",2841964,1491324
Monroe,Kentucky,Democrat,"10 - 15 %",2841964,1491324
Ionia,Michigan,Republican,"10 - 15 %",2841964,1491324
Union,South Carolina,Democrat,"10 - 15 %",2841964,1491324
Butler,Nebraska,Republican,"10 - 15 %",2841964,1491324
Simpson,Kentucky,Republican,"10 - 15 %",2841964,1491324
Knott,Kentucky,Republican,"10 - 15 %",2841964,1491324
Morgan,Kentucky,Democrat,"10 - 15 %",2841964,1491324
Atoka,Oklahoma,Democrat,"10 - 15 %",2841964,1491324
Franklin,Louisiana,Democrat,"10 - 15 %",2841964,1491324
Nicholas,West Virginia,Democrat,"10 - 15 %",2841964,1491324
Brooks,Texas,Republican,"10 - 15 %",2841964,1491324
Dallam,Texas,Republican,"10 - 15 %",2841964,1491324
Jerome,Idaho,Democrat,"10 - 15 %",2841964,1491324
Crook,Oregon,Republican,"10 - 15 %",2841964,1491324
LaClede,Missouri,Republican,"10 - 15 %",2841964,1491324
Menifee,Kentucky,Republican,"10 - 15 %",2841964,1491324
Macon,Georgia,Democrat,"10 - 15 %",2841964,1491324
Jackson,Indiana,Democrat,"10 - 15 %",2841964,1491324
McNairy,Tennessee,Democrat,"10 - 15 %",2841964,1491324
Carroll,Ohio,Republican,"10 - 15 %",2841964,1491324
Crane,Texas,Democrat,"10 - 15 %",2841964,1491324
Richmond,North Carolina,Republican,"10 - 15 %",2841964,1491324
Franklin,Alabama,Democrat,"10 - 15 %",2841964,1491324
Adair,Kentucky,Republican,"10 - 15 %",2841964,1491324
Pike,Arkansas,Republican,"10 - 15 %",2841964,1491324
Lassen,California,Democrat,"10 - 15 %",2841964,1491324
Ward,Texas,Republican,"10 - 15 %",2841964,1491324
Wright,Missouri,Republican,"10 - 15 %",2841964,1491324
Anderson,Texas,Republican,"10 - 15 %",2841964,1491324
Adams,Wisconsin,Democrat,"10 - 15 %",2841964,1491324
